Id_sensora,Id_stacji,longitude,latitude,parametr,wartosc,data_pomiaru
672,117,17.029250,51.129378,SO2,8.26595,2024-01-05_17:00:00
14395,117,17.029250,51.129378,PM10,20.2857,2024-01-05_17:00:00
670,117,17.029250,51.129378,PM2.5,17.5532,2024-01-05_17:00:00
297,52,16.180513,51.204503,SO2,5.06065,2024-01-05_17:00:00
14397,52,16.180513,51.204503,PM10,33.7436,2024-01-05_16:00:00
621,109,16.269677,50.768729,SO2,11.1443,2024-01-05_17:00:00
618,109,16.269677,50.768729,PM10,13.3978,2024-01-05_16:00:00
450,74,15.431719,51.317630,SO2,8.11669,2024-01-05_17:00:00
14733,9153,15.765608,50.913433,SO2,4.64946,2024-01-05_17:00:00
14730,9153,15.765608,50.913433,PM10,8.67601,2024-01-05_17:00:00
14731,9153,15.765608,50.913433,PM2.5,8.28584,2024-01-05_17:00:00
998,158,17.995708,53.134083,SO2,4.3,2024-01-05_17:00:00
995,158,17.995708,53.134083,PM10,22.5,2024-01-05_17:00:00
996,158,17.995708,53.134083,PM2.5,19.4,2024-01-05_17:00:00
2088,296,19.450992,51.775378,SO2,5.7,2024-01-05_17:00:00
2087,296,19.450992,51.775378,PM10,14.6,2024-01-05_17:00:00
2382,355,19.421231,51.856692,SO2,5.2,2024-01-05_17:00:00
2377,355,19.421231,51.856692,PM10,23.0,2024-01-05_17:00:00
2378,355,19.421231,51.856692,PM2.5,20.7,2024-01-05_17:00:00
2039,291,19.233217,52.143258,SO2,2.8,2024-01-05_17:00:00
2035,291,19.233217,52.143258,PM10,15.0,2024-01-05_17:00:00
2222,319,19.517556,51.291175,SO2,3.5,2024-01-05_17:00:00
16633,331,19.448714,51.067417,SO2,18.9,2024-01-05_17:00:00
16630,331,19.448714,51.067417,PM10,26.0,2024-01-05_17:00:00
21363,331,19.448714,51.067417,PM2.5,28.0,2024-01-05_17:00:00
16043,9913,21.288167,52.943172,SO2,2.2,2024-01-05_17:00:00
17276,9913,21.288167,52.943172,PM10,3.7,2024-01-05_17:00:00
20365,11358,19.645100,52.602534,SO2,10.8,2024-01-05_17:00:00
27292,11358,19.645100,52.602534,PM10,28.3,2024-01-05_17:00:00
28812,11358,19.645100,52.602534,PM2.5,21.2,2024-01-05_17:00:00
16149,590,17.950278,50.676856,SO2,3.098,2024-01-05_17:00:00
3847,568,18.236575,50.349608,SO2,9.08971,2024-01-05_17:00:00
3843,568,18.236575,50.349608,PM10,25.2549,2024-01-05_17:00:00
3844,568,18.236575,50.349608,PM2.5,22.2759,2024-01-05_17:00:00
4391,671,22.010575,50.024242,SO2,4.42605,2024-01-05_17:00:00
14466,671,22.010575,50.024242,PM10,25.4611,2024-01-05_16:00:00
4339,665,22.756239,49.784339,SO2,13.031,2024-01-05_17:00:00
4336,665,22.756239,49.784339,PM10,60.5309,2024-01-05_17:00:00
4338,665,22.756239,49.784339,PM2.5,52.6895,2024-01-05_17:00:00
16396,882,22.038056,54.124819,SO2,0.87441,2024-01-05_17:00:00
16214,10005,22.348338,53.828389,SO2,8.04451,2024-01-05_17:00:00
16173,10005,22.348338,53.828389,PM10,4.60408,2024-01-05_17:00:00
27606,10005,22.348338,53.828389,PM2.5,4.48211,2024-01-05_17:00:00
6087,944,16.877289,52.420319,SO2,7.22367,2024-01-05_17:00:00
6085,944,16.877289,52.420319,PM10,1.68261,2024-01-05_17:00:00
20176,944,16.877289,52.420319,PM2.5,1.5411,2024-01-05_17:00:00
6168,952,18.049063,51.747950,SO2,5.58093,2024-01-05_17:00:00
14972,952,18.049063,51.747950,PM10,11.2401,2024-01-05_17:00:00
6165,952,18.049063,51.747950,PM2.5,10.7327,2024-01-05_17:00:00
6108,946,17.773175,52.501318,SO2,3.25209,2024-01-05_17:00:00
17945,10834,16.999634,52.449295,SO2,2.0687,2024-01-05_17:00:00
17958,10834,16.999634,52.449295,PM10,21.595,2024-01-05_17:00:00
6385,987,14.553900,53.432169,SO2,3.38781,2024-01-05_17:00:00
6382,987,14.553900,53.432169,PM10,19.4344,2024-01-05_17:00:00
6383,987,14.553900,53.432169,PM2.5,14.0111,2024-01-05_17:00:00
6400,989,14.556250,53.470889,SO2,3.04302,2024-01-05_17:00:00
5290,805,19.231222,50.329111,SO2,6.89052,2024-01-05_17:00:00
5286,805,19.231222,50.329111,PM10,15.7232,2024-01-05_16:00:00
5382,814,18.975028,50.264611,SO2,12.629,2024-01-05_17:00:00
5376,814,18.975028,50.264611,PM10,36.0319,2024-01-05_17:00:00
5378,814,18.975028,50.264611,PM2.5,28.5708,2024-01-05_17:00:00
5508,841,18.990236,50.099903,SO2,9.69522,2024-01-05_17:00:00
5505,841,18.990236,50.099903,PM10,27.4836,2024-01-05_17:00:00
5579,848,18.772375,50.3165,SO2,13.2085,2024-01-05_17:00:00
5573,848,18.772375,50.3165,PM10,29.3832,2024-01-05_16:00:00
5470,834,18.516139,50.111181,SO2,10.0579,2024-01-05_17:00:00
5466,834,18.516139,50.111181,PM10,24.6005,2024-01-05_17:00:00
17439,10554,18.689527,50.029416,SO2,10.0217,2024-01-05_17:00:00
5171,789,19.027318,49.813464,SO2,11.9829,2024-01-05_17:00:00
5167,789,19.027318,49.813464,PM10,36.9513,2024-01-05_16:00:00
5260,800,19.130111,50.836389,SO2,2.54967,2024-01-05_17:00:00
5256,800,19.130111,50.836389,PM10,6.40924,2024-01-05_16:00:00
5516,842,18.826722,49.719731,SO2,1.97129,2024-01-05_17:00:00
5515,842,18.826722,49.719731,PM10,2.64749,2024-01-05_16:00:00
5550,845,18.455548,50.007629,SO2,14.4588,2024-01-05_17:00:00
5547,845,18.455548,50.007629,PM10,45.1878,2024-01-05_16:00:00
5623,853,19.458797,50.710889,SO2,1.68683,2024-01-05_17:00:00
5618,853,19.458797,50.710889,PM10,8.94362,2024-01-05_16:00:00
5619,853,19.458797,50.710889,PM2.5,12.4264,2024-01-05_16:00:00
14915,856,19.234446,49.671602,SO2,30.5755,2024-01-05_17:00:00
